tax_order,category,sci_name,comm_name,count,country,state,lat,lon,dates,observer,comments
33909,species,"Tangara inornata","Plain-colored Tanager",1,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Point count from balcony next to our rooms at Los Tubos overlooking the river. With Diego and Maira."
12328,species,"Pionus menstruus","Blue-headed Parrot",2,Colombia,"Valle del Cauca",3.8486402,-76.787372,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Hike up into the Área de Conservacón Quebrada Pericos--scouting for Manacus. Made it several hundred meters along trail before turning back. Hit one nice flock right where we turned around. Very steep climb up, reaching ~400 meters elevation or a little more."
26157,species,"Microbates cinereiventris","Tawny-faced Gnatwren",1,Colombia,"Valle del Cauca",3.8486402,-76.787372,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Hike up into the Área de Conservacón Quebrada Pericos--scouting for Manacus. Made it several hundred meters along trail before turning back. Hit one nice flock right where we turned around. Very steep climb up, reaching ~400 meters elevation or a little more."
7412,species,"Coragyps atratus","Black Vulture",3,Colombia,"Valle del Cauca",3.8486402,-76.787372,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Hike up into the Área de Conservacón Quebrada Pericos--scouting for Manacus. Made it several hundred meters along trail before turning back. Hit one nice flock right where we turned around. Very steep climb up, reaching ~400 meters elevation or a little more."
33634,species,"Tachyphonus delatrii","Tawny-crested Tanager",5,Colombia,"Valle del Cauca",3.8486402,-76.787372,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Hike up into the Área de Conservacón Quebrada Pericos--scouting for Manacus. Made it several hundred meters along trail before turning back. Hit one nice flock right where we turned around. Very steep climb up, reaching ~400 meters elevation or a little more."
13449,species,"Hafferia zeledoni","Zeledon's Antbird",1,Colombia,"Valle del Cauca",3.8486402,-76.787372,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Hike up into the Área de Conservacón Quebrada Pericos--scouting for Manacus. Made it several hundred meters along trail before turning back. Hit one nice flock right where we turned around. Very steep climb up, reaching ~400 meters elevation or a little more."
30999,species,"Euphonia xanthogaster","Orange-bellied Euphonia",2,Colombia,"Valle del Cauca",3.8486402,-76.787372,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Hike up into the Área de Conservacón Quebrada Pericos--scouting for Manacus. Made it several hundred meters along trail before turning back. Hit one nice flock right where we turned around. Very steep climb up, reaching ~400 meters elevation or a little more."
15552,species,"Mionectes olivaceus","Olive-striped Flycatcher",1,Colombia,"Valle del Cauca",3.8486402,-76.787372,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Hike up into the Área de Conservacón Quebrada Pericos--scouting for Manacus. Made it several hundred meters along trail before turning back. Hit one nice flock right where we turned around. Very steep climb up, reaching ~400 meters elevation or a little more."
15471,species,"Myiobius sulphureipygius","Sulphur-rumped Flycatcher",1,Colombia,"Valle del Cauca",3.8486402,-76.787372,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Hike up into the Área de Conservacón Quebrada Pericos--scouting for Manacus. Made it several hundred meters along trail before turning back. Hit one nice flock right where we turned around. Very steep climb up, reaching ~400 meters elevation or a little more."
14228,species,"Xiphorhynchus erythropygius","Spotted Woodcreeper",1,Colombia,"Valle del Cauca",3.8486402,-76.787372,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Hike up into the Área de Conservacón Quebrada Pericos--scouting for Manacus. Made it several hundred meters along trail before turning back. Hit one nice flock right where we turned around. Very steep climb up, reaching ~400 meters elevation or a little more."
26249,species,"Microcerculus marginatus","Scaly-breasted Wren",1,Colombia,"Valle del Cauca",3.8486402,-76.787372,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Hike up into the Área de Conservacón Quebrada Pericos--scouting for Manacus. Made it several hundred meters along trail before turning back. Hit one nice flock right where we turned around. Very steep climb up, reaching ~400 meters elevation or a little more."
33366,species,"Chlorothraupis olivacea","Lemon-spectacled Tanager",2,Colombia,"Valle del Cauca",3.8486402,-76.787372,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Hike up into the Área de Conservacón Quebrada Pericos--scouting for Manacus. Made it several hundred meters along trail before turning back. Hit one nice flock right where we turned around. Very steep climb up, reaching ~400 meters elevation or a little more."
9966,species,"Malacoptila panamensis","White-whiskered Puffbird",2,Colombia,"Valle del Cauca",3.8486402,-76.787372,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Hike up into the Área de Conservacón Quebrada Pericos--scouting for Manacus. Made it several hundred meters along trail before turning back. Hit one nice flock right where we turned around. Very steep climb up, reaching ~400 meters elevation or a little more."
34699,spuh,"Passeriformes sp.","passerine sp.",1,Colombia,"Valle del Cauca",3.8486402,-76.787372,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Hike up into the Área de Conservacón Quebrada Pericos--scouting for Manacus. Made it several hundred meters along trail before turning back. Hit one nice flock right where we turned around. Very steep climb up, reaching ~400 meters elevation or a little more."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",2,Colombia,"Valle del Cauca",3.8486402,-76.787372,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Hike up into the Área de Conservacón Quebrada Pericos--scouting for Manacus. Made it several hundred meters along trail before turning back. Hit one nice flock right where we turned around. Very steep climb up, reaching ~400 meters elevation or a little more."
15810,species,"Rhynchocyclus pacificus","Pacific Flatbill",1,Colombia,"Valle del Cauca",3.8486402,-76.787372,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Hike up into the Área de Conservacón Quebrada Pericos--scouting for Manacus. Made it several hundred meters along trail before turning back. Hit one nice flock right where we turned around. Very steep climb up, reaching ~400 meters elevation or a little more."
15124,species,"Manacus manacus","White-bearded Manakin",1,Colombia,"Valle del Cauca",3.8486402,-76.787372,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Hike up into the Área de Conservacón Quebrada Pericos--scouting for Manacus. Made it several hundred meters along trail before turning back. Hit one nice flock right where we turned around. Very steep climb up, reaching ~400 meters elevation or a little more."
13093,species,"Epinecrophylla fulviventris","Checker-throated Stipplethroat",1,Colombia,"Valle del Cauca",3.8486402,-76.787372,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Hike up into the Área de Conservacón Quebrada Pericos--scouting for Manacus. Made it several hundred meters along trail before turning back. Hit one nice flock right where we turned around. Very steep climb up, reaching ~400 meters elevation or a little more."
34410,species,"Sporophila corvina","Variable Seedeater",1,Colombia,"Valle del Cauca",3.838495,-76.792882,2022-07-11,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. While standing on balcony of the sede del consejo for the surrounding communities. Balcony overlooked the river and nice swath of trees (including Cecropia) along river. We did this list prior to the official meeting with the board of directors."
