tax_order,category,sci_name,comm_name,count,country,state,lat,lon,dates,observer,comments
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",1,Colombia,"Valle del Cauca",3.8386910,-76.7936910,2022-07-11,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Started list at highway next to the Estadero Popamamba and sede of the consejo for the surrounding communities. We then walked west and crossed the river on the hanging foot bridge to Vereda El Salto--Km 47. We then birded along the railroad tracks parallel to the river. We then walked back to the highway, walked north along highway, and ended the list near Quebrada Pericos. With Sebastian and Maira."
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",1,Colombia,"Valle del Cauca",3.8386910,-76.7936910,2022-07-11,obsr792981,""
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",1,Colombia,"Valle del Cauca",3.8386910,-76.7936910,2022-07-11,obsr803013,""
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",1,Colombia,"Valle del Cauca",3.8431610,-76.7911750,2022-07-11,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Diego, Maira, and Sebastian."
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",1,Colombia,"Valle del Cauca",3.8435270,-76.7932520,2022-07-11,obsr436508,Manacus2022_
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",1,Colombia,"Valle del Cauca",3.8435270,-76.7932520,2022-07-11,obsr792981,""
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",1,Colombia,"Valle del Cauca",3.8435270,-76.7932520,2022-07-11,obsr803013,""
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",1,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Point count from balcony next to our rooms at Los Tubos overlooking the river. With Diego and Maira."
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",1,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr436508,"Manacus2022_Point count from balcony next to our rooms at Los Tubos overlooking the river. With Diego and Maira."
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",1,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr803013,""
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",1,Colombia,"Valle del Cauca",3.8444200,-76.7937890,2022-07-22,obsr164915,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. Birding the balcony and around the hotel with Andre and Sebastian."
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",1,Colombia,"Valle del Cauca",3.8444200,-76.7937890,2022-07-22,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Birding the balcony and around the hotel with Andre and Sebastian."
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",1,Colombia,"Valle del Cauca",3.8444200,-76.7937890,2022-07-22,obsr792981,""
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",1,Colombia,"Valle del Cauca",3.8582540,-76.8068820,2022-07-25,obsr164915,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. From edge of the town (3.85825, -76.80688) of Triana up to the wooden observation platform near second cell tower (~565 meters elevation; 3.85487, -76.81732). Very steep hike up through nice secondary/logged forest. With Eamon and guide Gustavo (from Triana). Light rain on and off."
